"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
18.81,4.36,192,3,61.3,44.17,"Alpha","api","baja","success"
5.45,7.92,222,1,74.19,19.46,"Delta","auth","media","success"
6.06,8.92,217,0,71.71,0.79,"Delta","database","alta","success"
11.7,5.99,227,3,73.71,28.69,"Beta","ui","baja","success"
11.2,4.17,209,0,65.1,3.83,"Beta","ui","alta","success"
7.83,9.16,213,2,97.66,22.35,"Alpha","database","media","success"
9.68,4.25,201,NA,78.76,NA,"Gamma","ui","alta","rolled_back"
30.97,6.63,192,0,51.69,8.95,"Beta","ui","alta","success"
17.4,5.34,236,3,67.8,39.84,"Gamma","auth","alta","success"
11.55,1.55,226,6,79.64,16.39,"Beta","notifications","baja","success"
16.07,5.82,228,2,93.66,11.23,"Beta","ui","media","success"
7.97,4.39,225,1,64.56,14.19,"Delta","database","media","success"
22.32,NA,213,0,83.88,27.15,"Beta","api","media","failed"
11.25,5.73,218,2,54.86,2.72,"Gamma","database","baja","success"
7.78,4.03,217,2,64.67,57.35,"Delta","payments","media","success"
11.53,7.58,223,1,70.88,56.65,"Delta","ui","alta","success"
6.02,5.16,231,1,79.69,27.07,"Gamma","auth","baja","success"
8.07,3.88,211,1,52.02,12.65,"Beta","notifications","media","success"
21.3,9.2,226,0,70.99,27.28,"Delta","ui","alta","success"
14.46,11.87,215,2,83.68,3.3,"Gamma","notifications","media","success"
18.14,10.56,240,2,86.77,4.34,"Gamma","api","crítica","success"
12.42,3.89,202,2,96.15,29.06,"Alpha","api","baja","success"
5.3,3.59,205,1,71.43,17.49,"Alpha","ui","media","success"
4.5,4.29,215,2,78.34,39.41,"Delta","api","media","success"
13.85,2.75,241,3,94.73,20.05,"Beta","database","baja","success"
7.41,3.09,215,1,78.03,10.51,"Alpha","auth","media","success"
6.07,3.02,252,3,53.38,14.75,"Delta","auth","alta","success"
10.96,2.83,192,1,84.96,11.4,"Delta","api","alta","success"
9.12,5.39,236,1,96.15,6.54,"Delta","api","media","success"
24.73,7.34,198,2,54.23,17.67,"Alpha","api","media","success"
4.9,2.03,213,0,35.95,3.81,"Delta","auth","crítica","success"
14.15,8.82,227,1,86.12,2.99,"Beta","api","media","success"
8.56,6.18,233,2,NA,7.25,"Delta","api","baja","success"
10.78,6.81,192,0,74.16,41.76,"Delta","ui","media","success"
7.71,2.6,229,2,89.83,33.76,"Beta","payments","baja","success"
15.21,4.07,217,0,86.2,18.63,"Gamma","auth","media","success"
3.79,2.2,218,3,62.77,22,"Beta","notifications","baja","success"
13.09,5.76,231,1,54.75,27.52,"Beta","api","baja","success"
13.2,4.34,237,0,72.35,3.26,"Beta","notifications","media","success"
17.98,5.93,227,0,57.5,7.17,"Delta","api","media","success"
18.97,2.14,213,0,82.5,11.35,"Beta","ui","baja","success"
5.98,3.95,239,1,77.73,10.11,"Beta","auth","media","success"
9.59,2.7,228,NA,82.39,NA,"Delta","api","baja","rolled_back"
12.57,4.45,228,3,84.54,7.97,"Alpha","database","baja","success"
11.75,5.28,209,1,88.43,11.8,"Alpha","auth","media","success"
10.73,NA,229,0,51.58,NA,"Alpha","api","baja","failed"
8.15,NA,237,2,91.09,NA,"Delta","notifications","media","failed"
6.91,4.72,242,0,71.46,43.27,"Delta","auth","baja","rolled_back"
26.9,3.23,244,2,94.18,1.25,"Beta","notifications","baja","success"
15.81,4.31,206,1,64.85,29.36,"Alpha","ui","media","success"
15.43,3.78,222,1,81.98,17.95,"Delta","api","baja","success"
9.72,7.25,217,5,48.44,7.49,"Beta","payments","media","success"
20.71,7.57,215,1,38.19,0.85,"Delta","api","baja","success"
18.06,2.1,229,3,97.57,8.73,"Alpha","auth","media","success"
5.38,14.6,216,4,84.4,62.8,"Alpha","api","alta","success"
10.19,1.59,226,1,89.07,17.03,"Beta","api","alta","success"
8.53,3.55,206,0,81.03,19.45,"Delta","payments","baja","success"
15.57,3.9,220,1,80.77,52.22,"Delta","ui","baja","success"
7.15,9.38,218,1,80.66,35.28,"Beta","api","media","success"
10.05,3.43,213,0,77.72,89.85,"Alpha","auth","alta","success"
13.56,9.81,232,1,84.89,13.08,"Gamma","ui","media","success"
7.32,3.29,221,1,86.24,30.28,"Beta","api","baja","success"
6.59,8.94,201,1,86.12,12.67,"Beta","auth","baja","success"
14.86,5.26,218,2,82.94,7.68,"Gamma","auth","baja","success"
7.89,4.23,215,1,90.23,32.11,"Gamma","api","alta","success"
17.18,4.22,234,3,91.63,52.02,"Gamma","auth","media","success"
8.13,NA,210,3,83.86,NA,"Gamma","api","alta","failed"
8.47,NA,207,0,91.57,62.98,"Beta","ui","media","failed"
15.91,3.07,245,2,70.53,23.84,"Beta","api","baja","success"
8.17,NA,230,2,73.21,7.54,"Delta","database","alta","failed"
8.71,14.98,247,0,81.69,22.27,"Alpha","payments","baja","success"
14.27,3.92,220,1,92.45,NA,"Beta","api","crítica","rolled_back"
14.37,12.13,229,0,83.45,11.15,"Delta","notifications","baja","success"
10.48,2.98,228,1,78.26,47.36,"Gamma","api","crítica","success"
14.18,NA,245,0,39.15,NA,"Alpha","api","media","failed"
11.64,NA,203,0,82.41,25.07,"Delta","ui","media","failed"
7.54,4.65,229,1,73.57,86.35,"Delta","ui","media","success"
9.11,5.9,215,0,80,3.68,"Beta","api","baja","success"
14.65,5.01,231,2,82.84,24.89,"Alpha","payments","media","success"
11.92,NA,270,2,88.74,NA,"Alpha","api","media","failed"
10.36,3.48,201,0,66.89,13.83,"Beta","database","media","success"
7.62,5.56,229,0,54.49,7.54,"Gamma","ui","media","success"
5.01,7.77,244,0,82.94,5.55,"Alpha","database","media","success"
9.8,6.76,216,0,92.32,7.51,"Beta","payments","baja","success"
9.36,6.14,192,NA,77.32,26.5,"Beta","api","media","rolled_back"
8.09,7.71,206,2,80.7,7.14,"Delta","ui","baja","success"
17.66,2.77,227,1,85.22,24.01,"Beta","ui","media","success"
18.44,4.65,227,1,88.17,57.24,"Alpha","notifications","media","success"
15.5,2.75,209,2,76.81,15.68,"Alpha","auth","media","success"
18.12,10.99,232,3,96.26,42.44,"Beta","database","media","success"
5.12,12.01,202,NA,80.97,44.86,"Beta","ui","media","rolled_back"
9.06,4.8,213,0,95.21,35.88,"Beta","database","media","success"
10.03,5.29,220,1,75.37,7.85,"Alpha","api","media","success"
18.6,NA,247,3,88.99,NA,"Delta","api","alta","failed"
4.81,6.5,214,1,75.09,29.85,"Delta","api","media","success"
3.14,10.78,219,3,69.69,9.83,"Beta","auth","baja","success"
13.63,9.27,243,1,88.99,5.31,"Gamma","payments","media","success"
5.83,3.95,230,2,91.08,11.39,"Delta","api","baja","success"
5.86,5.67,203,0,72.52,6.6,"Beta","api","baja","success"
4.82,NA,209,3,73.78,NA,"Beta","api","baja","failed"
10.91,4.61,209,0,96.71,74.97,"Beta","auth","media","success"
18.69,6.65,234,2,73.42,55.02,"Delta","notifications","alta","success"
11.18,6.06,244,1,47.97,12.89,"Beta","api","media","success"
12.89,11.42,206,2,73.22,12.04,"Alpha","api","baja","success"
17.25,5.79,225,0,87.87,54.07,"Alpha","ui","alta","success"
16.18,3.7,208,1,77.76,6.91,"Delta","api","baja","success"
13.93,2.84,204,3,79.21,27.7,"Alpha","api","media","success"
6,NA,207,1,62.22,5.85,"Alpha","payments","baja","failed"
9.26,5.21,228,0,42.4,4.63,"Delta","payments","alta","success"
11.44,14.2,239,1,89.38,2.4,"Alpha","database","alta","success"
17.47,13.55,219,1,94.37,15.96,"Alpha","auth","media","success"
11.86,6.37,221,3,68.32,19.42,"Delta","auth","media","success"
8.32,4.08,217,1,78.53,17.37,"Beta","api","media","success"
3.88,8.52,213,0,NA,0.94,"Delta","api","alta","success"
9.05,8.31,214,2,62.28,31.71,"Beta","auth","alta","success"
8.42,3.59,219,1,76.33,17.12,"Delta","ui","media","success"
11.19,4.87,197,0,70.26,36.31,"Alpha","api","media","success"
5.14,4.7,190,1,63.09,2.03,"Delta","api","media","success"
8.48,11.31,243,0,66.78,7.55,"Beta","ui","baja","success"
5.15,4.09,209,1,84.56,1.92,"Alpha","ui","baja","success"
16.15,9.93,224,0,88.53,28.06,"Gamma","api","media","success"
13.15,7.75,227,3,76.99,53.12,"Beta","auth","media","success"
13.26,2.17,207,0,50.96,25.91,"Alpha","ui","alta","success"
12.71,7.69,212,2,53.44,23.01,"Gamma","ui","media","success"
15.44,NA,220,4,48.21,NA,"Gamma","notifications","alta","failed"
7.68,NA,210,0,71.47,9.33,"Beta","auth","baja","failed"
10.69,1.68,212,3,85.12,2.62,"Alpha","auth","crítica","success"
7.42,6.41,230,0,96.54,NA,"Beta","api","media","rolled_back"
6.55,2.96,229,1,85.45,8.73,"Delta","ui","alta","success"
10.98,3.66,251,3,85.26,10.36,"Gamma","auth","baja","success"
10.37,1.99,220,1,41.75,8.65,"Delta","ui","media","success"
15.89,2.9,237,1,73.67,16.77,"Beta","auth","media","success"
9.23,15.77,217,1,84.93,21.24,"Delta","ui","media","success"
13.31,NA,216,2,93.95,23.06,"Beta","database","media","failed"
12.67,12.25,229,1,78.02,46.37,"Gamma","ui","baja","success"
8.04,3.61,210,1,67.65,40.33,"Delta","payments","baja","success"
9.64,2.55,232,3,88.33,15.48,"Beta","auth","media","success"
10.86,9.06,222,2,61.73,5.41,"Alpha","auth","alta","success"
8.1,8.19,221,0,67.72,3.62,"Alpha","api","baja","success"
24.64,2.66,258,2,85.93,8.51,"Alpha","ui","baja","success"
12.31,NA,207,0,79.59,NA,"Delta","ui","media","failed"
12.03,5.45,226,NA,68.69,3.96,"Beta","api","alta","rolled_back"
12.91,3.62,215,3,87.3,110.54,"Alpha","auth","media","success"
18.99,7.61,222,0,78.18,10,"Gamma","ui","media","success"
15.32,3.41,210,3,63.43,57.14,"Beta","ui","crítica","success"
11.9,7.31,217,1,81.7,30.3,"Alpha","auth","baja","success"
7.63,NA,216,3,80.2,9.58,"Delta","ui","alta","failed"
3.87,6.19,247,0,65.28,67.6,"Beta","ui","media","success"
29.77,7.05,219,1,80.42,41.88,"Gamma","auth","baja","success"
8.55,10.13,211,1,79.99,29.09,"Alpha","api","media","success"
12.57,6.74,211,2,48.01,32.11,"Delta","ui","baja","success"
10.55,5.32,237,1,75.14,23.81,"Beta","notifications","alta","success"
9.09,4.23,215,1,74.59,12.21,"Delta","api","baja","success"
15.4,6.89,237,0,90.2,1.96,"Beta","auth","baja","success"
11.19,2.82,221,1,79.83,3.74,"Alpha","database","baja","success"
14.33,3.45,232,0,67.55,7.98,"Gamma","ui","baja","success"
16.42,6.27,220,1,97.4,30.33,"Delta","api","media","success"
8.45,2.13,254,1,62.27,11.15,"Gamma","database","baja","rolled_back"
12.93,6.86,234,3,74.91,15.14,"Beta","api","baja","success"
8.51,5.56,226,0,82.39,3.15,"Alpha","ui","media","success"
17.74,14.08,224,1,64.33,58.31,"Beta","api","media","success"
9.32,4.25,232,2,61.67,4.45,"Alpha","auth","baja","success"
11.74,14.04,214,1,78.87,4.79,"Delta","api","alta","success"
11.08,9.92,217,0,76.35,28.49,"Gamma","ui","baja","success"
11.46,9.38,199,3,92.21,38.3,"Alpha","auth","baja","success"
9,1.77,213,4,85.3,4.44,"Beta","ui","baja","success"
9.38,3.01,207,1,83.83,4.03,"Alpha","api","media","success"
5.25,5.24,245,1,50.06,30.42,"Gamma","api","media","success"
6.03,NA,225,3,83.4,11.74,"Beta","ui","media","failed"
7.15,NA,206,0,49.85,20.96,"Gamma","ui","media","failed"
15.31,3.1,209,3,80.68,8.61,"Beta","notifications","baja","success"
10.52,4.63,229,2,77.55,114.09,"Alpha","api","media","success"
11.8,6.47,253,1,76.42,6.47,"Alpha","auth","baja","success"
8.91,3.06,204,1,73.37,11.56,"Delta","ui","media","success"
6.65,6.18,197,1,53.65,0.74,"Beta","ui","crítica","success"
9.66,5.89,206,1,43.31,5.45,"Gamma","api","baja","success"
17.71,5.16,197,0,88.9,60.95,"Beta","notifications","media","success"
18.6,10.78,233,1,92.89,25.39,"Gamma","ui","media","success"
12.07,5.93,214,1,75.87,61.44,"Delta","ui","baja","success"
9.28,2.61,214,1,60.41,15.19,"Beta","api","media","success"
8.68,13.08,208,0,86.28,15.05,"Delta","ui","media","success"
6.19,3.8,226,0,75.94,39.44,"Delta","payments","baja","success"
9.59,NA,222,3,85.38,NA,"Alpha","auth","baja","failed"
17.14,5.28,226,3,63.57,16.85,"Gamma","database","baja","success"
19.78,14.86,246,1,83.61,16.86,"Alpha","ui","baja","success"
18.49,1.1,209,1,83.35,24.81,"Gamma","auth","media","success"
14.33,2.84,232,0,88.04,4.31,"Alpha","ui","alta","success"
10.08,4.28,189,0,89.44,6.87,"Delta","api","media","rolled_back"
18.99,1.18,208,1,61.04,13.4,"Gamma","auth","media","success"
23.72,5.84,218,1,98.57,10.67,"Delta","api","media","success"
12.14,NA,211,1,88.53,1.23,"Delta","database","alta","failed"
5.52,8.87,213,2,82.26,0.6,"Gamma","ui","media","success"
21.42,6.21,206,1,89.88,29.57,"Alpha","notifications","baja","success"
12.82,5.97,219,3,89.46,48.33,"Beta","ui","alta","success"
13.66,6.38,229,1,73.51,10.6,"Gamma","api","media","success"
10.71,11.95,241,1,31.89,13.47,"Beta","auth","media","success"
13.27,2.12,230,0,94.77,22.08,"Beta","api","media","success"
13.7,10.4,259,1,70.33,9.14,"Alpha","auth","baja","success"
7.83,6.94,201,3,77.67,12.35,"Beta","ui","crítica","success"
7.83,3.49,253,0,68.93,9.51,"Alpha","auth","baja","success"
6.28,2.38,228,1,69.22,1.27,"Beta","auth","baja","success"
8.77,4.99,211,0,94.41,19.15,"Alpha","api","media","success"
10.69,4.81,170,0,90.8,5.58,"Gamma","api","baja","success"
8.16,8.53,217,2,79.19,17.91,"Alpha","api","media","success"
6.91,8.55,221,0,98.34,29.01,"Gamma","ui","baja","success"
17.49,5.04,209,1,74.03,26.32,"Alpha","notifications","media","success"
7.88,3.95,230,1,85.95,36.33,"Alpha","ui","alta","success"
14.06,4.32,243,0,69.74,1.18,"Gamma","api","media","success"
7.29,7.25,240,1,85.51,3.49,"Beta","api","media","success"
5.28,4.66,227,2,77.21,20.85,"Beta","payments","baja","success"
6.48,8.49,223,1,66.64,25.5,"Gamma","api","alta","success"
12.48,7.12,252,0,89.58,NA,"Delta","notifications","media","rolled_back"
11.81,7.94,202,4,65.55,20.45,"Beta","ui","alta","success"
18.72,3.89,203,1,58.02,7.4,"Gamma","api","media","success"
9.95,8.76,221,2,64.69,26.31,"Alpha","api","alta","success"
18.8,7.1,228,1,77.09,9.97,"Alpha","auth","alta","success"
9.47,4.09,225,1,83.46,NA,"Delta","api","media","rolled_back"
11.33,6.02,227,2,84.86,15.3,"Beta","auth","baja","success"
6.6,5.79,214,2,88.61,5.25,"Alpha","ui","alta","success"
5.74,7.86,238,2,79.22,83.64,"Gamma","ui","media","success"
7.18,4.2,247,1,80.53,9.45,"Beta","ui","media","success"
11.27,6.18,231,1,73.29,49.8,"Gamma","api","alta","success"
13.51,2.6,237,NA,68.53,NA,"Alpha","api","baja","rolled_back"
6.09,3.12,237,1,73.6,30.28,"Beta","ui","alta","rolled_back"
8.89,9.64,215,1,96.22,40.5,"Gamma","api","baja","success"
13.37,3.97,206,1,85.84,58.29,"Delta","api","media","success"
9.46,NA,220,1,82.59,81.37,"Gamma","api","media","failed"
9.5,4.16,200,0,87.03,76.78,"Alpha","api","media","success"
30.54,5.96,220,1,60.39,23.89,"Beta","ui","media","success"
14.7,2.38,212,2,71.67,62.24,"Delta","api","baja","success"
16.61,1.95,242,6,46.55,23.54,"Alpha","api","media","success"
11.45,14.62,209,3,59.18,24.67,"Delta","database","baja","success"
9.3,2.91,216,2,92.36,47.92,"Alpha","ui","baja","success"
15.68,1.98,206,1,64.34,2.77,"Alpha","auth","media","success"
13.36,NA,229,1,58.75,2.45,"Beta","auth","baja","failed"
6.69,5.47,232,0,77.63,15.28,"Alpha","notifications","media","success"
11.24,19.29,215,1,84.57,12.31,"Gamma","database","crítica","success"
18.3,4.72,223,1,78.63,78.76,"Beta","ui","media","success"
13.24,10.2,196,NA,88.35,14.38,"Gamma","auth","media","rolled_back"
13.81,10.51,249,1,89.92,7.73,"Delta","database","media","success"
12.77,5.54,203,3,89.75,68.29,"Beta","ui","media","success"
7.36,8.86,217,3,69.04,39.08,"Alpha","ui","baja","success"
7.72,10.95,207,2,85.09,10.37,"Gamma","auth","baja","success"
13.81,5.16,205,2,79.42,12.05,"Beta","auth","baja","success"
5.88,6.52,211,0,76.98,11.69,"Beta","auth","media","success"
7.54,7.01,217,2,61.75,11.6,"Delta","ui","media","success"
17.07,NA,214,0,93.24,2.21,"Alpha","api","baja","failed"
12.56,1.82,236,3,56.23,1.03,"Gamma","database","baja","success"
7.55,4.98,230,3,78.78,6.96,"Beta","notifications","media","success"
8.73,4.49,228,2,49.83,28.72,"Beta","api","media","success"
12.78,11.57,207,1,94.92,46.7,"Gamma","ui","media","success"
7.04,8.98,228,1,62.79,73.5,"Alpha","database","baja","success"
4.44,7.46,213,2,NA,25.53,"Delta","ui","alta","success"
6.61,NA,208,1,46.67,NA,"Delta","ui","media","failed"
20.08,2.96,251,3,77.97,57.34,"Alpha","auth","media","success"
12.97,2.22,257,2,83.83,25.16,"Beta","ui","baja","success"
14.39,NA,230,1,80.9,NA,"Alpha","api","crítica","failed"
12.36,NA,210,1,81.26,1.31,"Gamma","api","baja","failed"
8.02,6.43,210,1,80.3,48.22,"Delta","api","media","success"
9.47,3.52,204,2,69.07,14.85,"Gamma","ui","baja","success"
14.03,3.36,209,1,75.09,96.45,"Delta","notifications","baja","success"
12.62,4.19,212,2,78.69,11.35,"Gamma","payments","media","success"
11.85,8.22,222,1,76.11,29.58,"Alpha","auth","crítica","success"
3.9,2.4,208,2,68.31,39.53,"Alpha","ui","media","success"
9.52,6.12,251,2,68.99,5.09,"Beta","ui","baja","success"
10.61,4.1,199,0,88.1,1.32,"Alpha","ui","alta","success"
7.43,6.1,237,3,89.49,2.43,"Alpha","ui","crítica","success"
17.08,13.38,224,2,80.23,6.6,"Beta","ui","baja","success"
13.67,8.57,234,0,68.49,1.57,"Beta","ui","alta","success"
15.31,6.2,211,0,50.64,2.46,"Delta","notifications","baja","success"
7.59,NA,206,0,43.83,20.04,"Beta","api","alta","failed"
25.77,NA,212,3,73.32,37.72,"Alpha","ui","baja","failed"
9.74,5.92,235,1,97.72,42.18,"Beta","database","media","success"
9.9,4.05,229,0,64.73,19.37,"Gamma","notifications","media","success"
13.48,5.23,219,2,89.58,3.29,"Alpha","ui","crítica","success"
20.52,NA,236,3,63.07,0.81,"Alpha","api","crítica","failed"
5.71,4.83,190,0,51.15,11.91,"Gamma","auth","baja","success"
10.43,8.61,211,2,63.6,27.21,"Delta","payments","baja","success"
17.46,4.81,223,2,82.34,13.34,"Gamma","auth","media","success"
11.41,4.22,214,2,74.95,0.53,"Delta","api","alta","success"
13.18,6.9,232,2,92.9,24.31,"Delta","notifications","media","success"
25.57,5.65,222,4,73.76,49.61,"Alpha","ui","media","success"
8.85,NA,227,3,82.3,1.45,"Delta","api","media","failed"
21.03,12.38,241,NA,78.34,8.55,"Alpha","database","alta","rolled_back"
17.01,1.87,234,2,87.97,9.84,"Gamma","ui","alta","success"
4.98,NA,203,1,NA,8.28,"Beta","notifications","baja","failed"
7.74,3.34,229,0,72.88,62.18,"Gamma","ui","media","success"
10.66,4.59,226,2,73.71,3.45,"Beta","notifications","crítica","success"
9.42,4.81,234,2,85.13,2.6,"Gamma","api","media","success"
9.27,NA,206,3,58.54,30.57,"Beta","database","media","failed"
17.71,11.27,238,1,96,16.54,"Alpha","api","baja","success"
19.58,2.22,247,2,78.13,6.52,"Alpha","ui","media","success"
12.64,6.48,215,1,95.65,5.43,"Alpha","database","baja","success"
7.15,6.26,226,4,58.3,6.08,"Gamma","auth","media","success"
10.65,5.3,228,3,83.29,30.18,"Gamma","notifications","baja","success"
11.21,2.89,215,0,33.26,7.66,"Gamma","ui","baja","success"
9.15,14.07,212,2,97.15,9.04,"Alpha","notifications","media","success"
29.1,10.23,213,2,90.96,34.71,"Gamma","auth","media","success"
9.04,3.18,210,1,68.47,17.02,"Alpha","payments","baja","success"
10.95,4.69,221,2,75.5,28.16,"Alpha","api","baja","success"
5.37,7.28,232,1,73.72,5,"Alpha","ui","baja","success"
14.66,6.25,215,0,60.85,23.2,"Gamma","ui","baja","success"
7.96,4.45,231,1,81.58,9.71,"Gamma","ui","crítica","success"
8.77,4.55,229,1,75.99,23.35,"Delta","api","crítica","success"
20.89,5.36,229,2,86.51,22.73,"Beta","api","crítica","success"
5.67,NA,226,0,77.23,22.54,"Beta","auth","baja","failed"
17.79,5.2,226,2,72.18,14.15,"Delta","notifications","baja","success"
9.87,7.75,229,0,83.32,38.65,"Beta","payments","media","success"
12.59,3.14,247,1,76.16,87.57,"Gamma","auth","alta","success"
11.24,7.04,232,1,96.97,0.64,"Beta","ui","alta","success"
6.13,12.22,192,1,70.9,16.6,"Beta","database","alta","success"
10.29,2.12,220,0,84.28,42.23,"Delta","ui","crítica","success"
6.37,2.18,220,1,79.83,12.15,"Beta","api","crítica","rolled_back"
18.15,NA,217,0,78.99,108.55,"Gamma","api","alta","failed"
21.31,11.92,233,0,52.91,17.83,"Beta","payments","baja","success"
14.39,NA,198,5,78.39,NA,"Beta","ui","baja","failed"
3.72,5.57,233,0,72.81,23.6,"Delta","auth","crítica","success"
15.17,3.92,202,0,57.13,12.36,"Delta","ui","media","success"
4.68,3.92,227,1,NA,83.03,"Gamma","notifications","baja","success"
11.93,4.78,223,2,82.21,16.64,"Alpha","api","media","success"
11.23,NA,232,0,95.95,80.28,"Alpha","auth","media","failed"
10.17,8.01,231,2,77.72,44.53,"Delta","ui","alta","success"
12.36,3.62,232,1,82.51,5.97,"Gamma","database","baja","success"
4.2,5.76,205,2,NA,3.53,"Beta","ui","crítica","success"
6.08,11.01,242,0,82.95,14.27,"Gamma","api","media","success"
14.62,6.53,201,2,93.73,130.1,"Beta","database","baja","success"
10.4,8.2,218,4,38.65,22.78,"Alpha","api","baja","success"
9.17,NA,236,0,77.44,6.31,"Gamma","auth","media","failed"
16.35,NA,203,0,92.89,NA,"Alpha","ui","media","failed"
16.32,6.32,210,0,60.09,7.21,"Beta","api","media","success"
11.19,8.65,210,0,74.38,5.58,"Alpha","ui","alta","success"
9.56,5.74,201,1,76.15,9.82,"Beta","database","media","success"
19.53,6.24,214,1,85.91,7.87,"Delta","ui","baja","success"
12.89,6.17,202,0,79.48,7.61,"Beta","database","baja","success"
8.65,6.85,212,2,81.27,65.82,"Alpha","notifications","baja","success"
8.23,9.2,200,0,87.63,22.71,"Alpha","auth","baja","success"
21.35,6.09,229,0,65.77,53.3,"Delta","ui","baja","success"
10.37,6.83,246,2,91.41,49.99,"Alpha","api","baja","success"
13.03,3.89,205,3,82.99,33.85,"Gamma","auth","baja","success"
7.77,NA,200,1,95.23,16.19,"Delta","notifications","media","failed"
15.45,5.53,230,3,65.9,22.59,"Beta","auth","media","success"
8.58,3.02,251,1,73.06,50.8,"Beta","auth","baja","success"
13.98,4.87,207,NA,60.14,13.46,"Beta","payments","crítica","rolled_back"
5.85,9.39,237,2,57.66,14.74,"Delta","auth","alta","success"
5.15,5.79,191,0,89.46,16.16,"Alpha","payments","baja","success"
11.01,12.41,204,0,65.52,5.84,"Alpha","notifications","alta","success"
8.09,2.78,205,2,76.72,12.64,"Alpha","api","media","success"
12.89,5.17,231,0,73.35,17.88,"Gamma","api","baja","success"
13.14,3.62,214,4,93.05,11.94,"Beta","ui","media","success"
11.82,8.4,217,0,69.93,96.47,"Alpha","payments","media","success"
12.23,4.71,223,2,80.28,43.98,"Gamma","auth","media","success"
16.99,2.69,212,0,36.47,28.83,"Gamma","ui","alta","success"
10.74,6.25,239,1,84.29,30.03,"Alpha","ui","alta","success"
12.4,3.2,229,2,63.27,11.4,"Alpha","ui","media","success"
10.96,2.83,227,0,72.78,16.1,"Beta","ui","crítica","success"
15.46,NA,217,0,96.52,7.89,"Gamma","auth","baja","failed"
7.93,7.12,215,1,63.93,7.68,"Alpha","auth","media","success"
18.43,4.92,230,0,69.29,36.37,"Alpha","database","media","success"
12.36,5.16,227,1,87.98,7.61,"Beta","auth","baja","success"
6.11,6.78,226,0,96.2,1.54,"Delta","ui","media","success"
10.18,0.82,224,0,83.72,6.96,"Alpha","api","crítica","success"
8.87,NA,231,1,83.74,9.77,"Beta","database","baja","failed"
10.01,NA,223,1,87,21.17,"Gamma","auth","baja","failed"
13.58,10.18,188,0,91.47,68.98,"Delta","ui","media","success"
5.94,1.23,203,1,84.14,15.47,"Gamma","api","baja","success"
13.31,7.55,190,0,92.68,59.16,"Gamma","api","alta","success"
10.85,2.62,207,NA,91.99,NA,"Delta","notifications","baja","rolled_back"
9.71,4.4,224,3,92.27,15.47,"Beta","notifications","alta","success"
12.97,4.51,203,0,72.69,39.69,"Alpha","auth","media","success"
13.47,10.61,237,2,77.24,21.97,"Beta","api","baja","success"
26.57,4.65,218,2,92,26.82,"Beta","ui","media","success"
22.45,6.39,234,4,90.72,10.21,"Alpha","ui","media","success"
12.28,8.04,250,1,94.89,4.05,"Alpha","api","alta","success"
19.87,NA,219,0,74.73,NA,"Gamma","ui","baja","failed"
5.99,6.73,210,NA,88.59,1.36,"Alpha","auth","alta","rolled_back"
10.78,5.43,214,2,80.58,5.09,"Delta","api","media","success"
7.8,5.73,200,2,76.95,35.23,"Delta","payments","alta","success"
3.01,NA,228,0,93.66,18.07,"Alpha","ui","baja","failed"
11.75,7.86,202,0,47.16,42.71,"Alpha","ui","media","success"
12.48,6.14,200,3,73.06,7.7,"Alpha","auth","media","success"
13.84,5.65,204,1,67.71,2.25,"Beta","api","crítica","success"
6.26,2.1,216,1,82.09,34.55,"Alpha","payments","baja","success"
7.1,4.76,245,1,77.77,30.56,"Gamma","database","media","success"
17.56,5.57,202,3,86.01,40.3,"Delta","auth","crítica","success"
17.58,4.23,223,2,91.88,1.95,"Beta","database","alta","success"
17.1,NA,223,3,88.66,NA,"Delta","api","alta","failed"
8.96,4.17,240,2,83.51,9.11,"Alpha","api","baja","success"
12.32,8.45,197,0,79.68,0.64,"Delta","api","media","success"
6.34,2.01,216,3,88.85,19.53,"Alpha","database","media","success"
7.35,NA,221,1,88.43,8.44,"Alpha","payments","alta","failed"
14.24,7.03,247,1,77.58,0.98,"Alpha","auth","alta","success"
10.59,3.13,203,0,91.16,17.23,"Beta","notifications","alta","success"
11.32,7.29,240,1,78.08,2.46,"Beta","api","media","success"
6.62,4.65,226,2,73.61,1.13,"Beta","auth","baja","success"
11.51,9.55,222,NA,86.01,49.13,"Alpha","api","crítica","rolled_back"
5.91,13.94,204,0,71.62,33.13,"Gamma","ui","alta","success"
8.02,1.75,227,0,59.33,14.83,"Gamma","notifications","media","success"
12.16,6.24,221,1,67.61,36.72,"Beta","api","baja","success"
10.07,13.75,227,2,69.23,3.42,"Alpha","ui","media","success"
5.08,3.74,211,0,90.09,57.05,"Delta","notifications","media","success"
8.46,NA,202,2,93.52,NA,"Gamma","payments","baja","failed"
11.85,2.6,200,1,90.72,14.74,"Beta","api","media","success"
15,6.21,212,2,61.35,81.44,"Alpha","notifications","alta","success"
15.25,1.51,222,4,85.71,17.83,"Alpha","api","media","success"
16.93,4.52,204,1,79.03,0.61,"Beta","notifications","alta","success"
10.66,NA,235,0,76.86,8.14,"Gamma","notifications","baja","failed"
14.39,2.8,221,2,78.48,18.84,"Alpha","ui","media","success"
6.99,6.37,238,2,88.82,60.42,"Beta","api","baja","success"
11.86,5.19,211,0,76.94,24.93,"Alpha","api","baja","success"
8.91,3.4,226,3,86.66,48.84,"Beta","database","baja","success"
